Id;País;ano;Quantidade (Kg)
1;Argélia;1987;0
2;Argentina;1987;773500
3;Brasil;1987;0
4;Chile;1987;1812678
5;Colômbia;1987;0
6;Egito;1987;0
7;Espanha;1987;0
8;Estados Unidos;1987;19400
9;Grécia;1987;0
10;Itália;1987;0
11;México;1987;0
12;Peru;1987;0
13;Paraguai;1987;0
14;Portugal;1987;0
15;Panamá;1987;0
16;Reino Unido;1987;0
17;Uruguai;1987;0
18;Venezuela;1987;0
19;Não consta na tabela;1987;0
20;Outros;1987;0
1;Argélia;1987;0
2;Argentina;1987;587095
3;Brasil;1987;0
4;Chile;1987;1467787
5;Colômbia;1987;0
6;Egito;1987;0
7;Espanha;1987;0
8;Estados Unidos;1987;29840
9;Grécia;1987;0
10;Itália;1987;0
11;México;1987;0
12;Peru;1987;0
13;Paraguai;1987;0
14;Portugal;1987;0
15;Panamá;1987;0
16;Reino Unido;1987;0
17;Uruguai;1987;0
18;Venezuela;1987;0
19;Não consta na tabela;1987;0
20;Outros;1987;0
1;Argélia;1988;0
2;Argentina;1988;2861962
3;Brasil;1988;0
4;Chile;1988;2507118
5;Colômbia;1988;0
6;Egito;1988;0
7;Espanha;1988;0
8;Estados Unidos;1988;28800
9;Grécia;1988;0
10;Itália;1988;0
11;México;1988;0
12;Peru;1988;0
13;Paraguai;1988;0
14;Portugal;1988;0
15;Panamá;1988;0
16;Reino Unido;1988;0
17;Uruguai;1988;0
18;Venezuela;1988;0
19;Não consta na tabela;1988;0
20;Outros;1988;0
1;Argélia;1988;0
2;Argentina;1988;2115752
3;Brasil;1988;0
4;Chile;1988;1776746
5;Colômbia;1988;0
6;Egito;1988;0
7;Espanha;1988;0
8;Estados Unidos;1988;49680
9;Grécia;1988;0
10;Itália;1988;0
11;México;1988;0
12;Peru;1988;0
13;Paraguai;1988;0
14;Portugal;1988;0
15;Panamá;1988;0
16;Reino Unido;1988;0
17;Uruguai;1988;0
18;Venezuela;1988;0
19;Não consta na tabela;1988;0
20;Outros;1988;0
1;Argélia;1989;0
2;Argentina;1989;5466862
3;Brasil;1989;0
4;Chile;1989;6876507
5;Colômbia;1989;0
6;Egito;1989;0
7;Espanha;1989;0
8;Estados Unidos;1989;43781
9;Grécia;1989;0
10;Itália;1989;0
11;México;1989;0
12;Peru;1989;0
13;Paraguai;1989;0
