id;control;cultivar;ano;Quantidade (Kg)
6;ti_BRSCarmen;BRS Carmen;1976;0
7;ti_BRSCora;BRS Cora;1976;0
8;ti_BRS Magna;BRS Magna;1976;0
9;ti_BRS Margot;BRS Margot;1976;0
10;ti_BRSMorena;BRS Morena;1976;0
29;ti_BRS Núbia ;BRS Núbia ;1976;0
11;ti_BRS Rúbea;BRS Rúbea;1976;0
12;ti_BRSVioleta;BRS Violeta;1976;0
13;ti_BRS Vitória;BRS Vitória;1976;0
15;ti_Champagnon(Champanheta);Champagnon (Champanheta);1976;0
16;ti_Coleções;Coleções;1976;0
17;ti_Concord;Concord;1976;6140559
18;ti_Concordclone30;Concord clone 30;1976;0
19;ti_Couderc;Couderc;1976;4084126
20;ti_Cynthiana(1);Cynthiana(1);1976;351881
21;ti_Herbemont;Herbemont;1976;41938949
22;ti_IAC138022;IAC 138022;1976;0
23;ti_Isabel;Isabel;1976;146746340
24;ti_IsabelPrecoce;Isabel Precoce;1976;0
25;ti_Jacquez;Jacquez;1976;495973
26;ti_Kyoko;Kyoko;1976;0
27;ti_Landot;Landot;1976;87904
28;ti_Mistura de uvas americanas tinto;Mistura de uvas americanas tinto;1976;0
29;ti_Oberlin;Oberlin;1976;10611
30;ti_Othello;Othello;1976;77044
31;ti_Paco;Paco;1976;0
32;ti_Patricia;Patricia;1976;0
33;ti_Seibel;Seibel;1976;9573812
34;ti_Seibel2(seibeleto);Seibel 2 (seibeleto);1976;0
35;ti_SeyveWillard(Tinta);Seyve Willard (Tinta);1976;0
36;ti_Vênus;Vênus;1976;0
37;BRANCASEROSADAS;BRANCAS E ROSADAS;1976;1269187
38;br_Baco;Baco;1976;4172
39;br_Bokay;Bokay;1976;0
40;br_BRS Bibiana ;BRS Bibiana ;1976;0
41;br_BRSClara;BRS Clara;1976;0
42;br_BRSLorena;BRS Lorena;1976;0
43;br_Couderc13;Couderc 13;1976;0
44;br_Delaware;Delaware;1976;0
45;br_DonaZillá;Dona Zillá;1976;0
46;br_DutChess;Dut Chess;1976;0
47;br_Goethe;Goethe;1976;228609
48;br_IAC;IAC;1976;0
49;br_Juliana;Juliana;1976;0
50;br_Martha;Martha;1976;1108
51;br_Mistura de uvas americanas;Mistura de uvas americanas;1976;0
52;br_MoscatoEmbrapa;Moscato Embrapa;1976;0
53;br_Niagara;Niagara;1976;1035298
54;br_NiagaraBranca;Niagara Branca;1976;0
55;br_NiagaraRosada;Niagara Rosada;1976;0
56;br_Poloske;Poloske;1976;0
57;br_Seleções;Seleções;1976;0
58;br_SeyveVillard;Seyve Villard;1976;0
59;br_SeyveVillard5276;Seyve Villard 5276;1976;0
60;br_SeyveVillard12375;Seyve Villard 12375;1976;0
61;br_TardiadeCaxias;Tardia de Caxias;1976;0
62;br_Outras;Outras(2);1976;0
1;TINTAS;TINTAS;1977;272772106
2;ti_Bacarina;Bacarina;1977;0
3;ti_Bailey;Bailey;1977;0
4;ti_Bordo;Bordo;1977;18714617
5;ti_Bourdin (S);Bourdin (S);1977;0
6;ti_BRSCarmen;BRS Carmen;1977;0
7;ti_BRSCora;BRS Cora;1977;0
8;ti_BRS Magna;BRS Magna;1977;0
9;ti_BRS Margot;BRS Margot;1977;0
10;ti_BRSMorena;BRS Morena;1977;0
29;ti_BRS Núbia ;BRS Núbia ;1977;0
11;ti_BRS Rúbea;BRS Rúbea;1977;0
12;ti_BRSVioleta;BRS Violeta;1977;0
13;ti_BRS Vitória;BRS Vitória;1977;0
15;ti_Champagnon(Champanheta);Champagnon (Champanheta);1977;0
16;ti_Coleções;Coleções;1977;0
17;ti_Concord;Concord;1977;7387125
18;ti_Concordclone30;Concord clone 30;1977;0
19;ti_Couderc;Couderc;1977;4214237
20;ti_Cynthiana(1);Cynthiana(1);1977;738472
21;ti_Herbemont;Herbemont;1977;53226940
22;ti_IAC138022;IAC 138022;1977;0
23;ti_Isabel;Isabel;1977;175906184
24;ti_IsabelPrecoce;Isabel Precoce;1977;0
25;ti_Jacquez;Jacquez;1977;681039
26;ti_Kyoko;Kyoko;1977;0
27;ti_Landot;Landot;1977;62198
28;ti_Mistura de uvas americanas tinto;Mistura de uvas americanas tinto;1977;0
29;ti_Oberlin;Oberlin;1977;22059
30;ti_Othello;Othello;1977;46765
31;ti_Paco;Paco;1977;0
32;ti_Patricia;Patricia;1977;0
33;ti_Seibel;Seibel;1977;11772470
34;ti_Seibel2(seibeleto);Seibel 2 (seibeleto);1977;0
35;ti_SeyveWillard(Tinta);Seyve Willard (Tinta);1977;0
36;ti_Vênus;Vênus;1977;0
37;BRANCASEROSADAS;BRANCAS E ROSADAS;1977;2587615
38;br_Baco;Baco;1977;13095
39;br_Bokay;Bokay;1977;0
40;br_BRS Bibiana ;BRS Bibiana ;1977;0
41;br_BRSClara;BRS Clara;1977;0
42;br_BRSLorena;BRS Lorena;1977;0
43;br_Couderc13;Couderc 13;1977;0
44;br_Delaware;Delaware;1977;0
45;br_DonaZillá;Dona Zillá;1977;0
46;br_DutChess;Dut Chess;1977;0
